输入query,输入query对应的instruction,输入appname,输入大类,模型原输出,标注输出,是否标注,是否为训练集,,,,,,,,,,,,
我想在PDD里查看之前收藏的商品，怎么操作啊？,在拼多多中查看商品收藏,拼多多,收藏,<Plan>#收藏#在$拼多多$中查看之前收藏的商品</Plan><Finish>,,√,0,,,,,,,,,,,,
请帮我查一下拼多多里面收藏的商品有哪些优惠活动。,在拼多多中查看商品收藏,拼多多,收藏,<Plan>#搜索#在$拼多多$中查看收藏的商品优惠活动</Plan><Finish>,<Plan>#收藏#在$拼多多$中查看收藏的商品优惠活动</Plan><Finish>,√,1,,,,,,,,,,,,
拼夕夕收藏夹里的商品怎么找不到了，是不是系统出问题了？,在拼多多中查看商品收藏,拼多多,收藏,<Plan>#搜索#在$拼多多$中查看收藏夹<br>查找原因或提示</Plan><Finish>,<Plan>#收藏#在$拼多多$中查看收藏夹</Plan><Finish>,√,0,,,,,,,,,,,,
YoYo，我在拼多多收藏了好几个东西，现在想买了，能帮我列出来吗？,在拼多多中查看商品收藏,拼多多,收藏,<Plan>#收藏#在$拼多多$中查看收藏</Plan><Finish>,,√,1,,,,,,,,,,,,
YoYo，快帮我看看拼夕夕里我的关注店铺都有哪些。,在拼多多中查看店铺关注,拼多多,收藏,<Plan>#搜索#在$拼多多$中查看我的关注店铺</Plan><Finish>,<Plan>#收藏#在$拼多多$中查看我的关注店铺</Plan><Finish>,√,0,,,,,,,,,,,,
我想在PDD里面查看我关注过的店铺列表，能帮我吗？,在拼多多中查看店铺关注,拼多多,收藏,<Plan>#搜索#在$拼多多$中查看我关注过的店铺列表</Plan><Finish>,<Plan>#收藏#在$拼多多$中查看我关注过的店铺列表</Plan><Finish>,√,1,,,,,,,,,,,,
拼多多里关注的店铺怎么查看啊？教教我呗！,在拼多多中查看店铺关注,拼多多,收藏,<Plan>#搜索#在$拼多多$中查看关注的店铺</Plan><Finish>,<Plan>#收藏#在$拼多多$中查看关注的店铺</Plan><Finish>,√,1,,,,,,,,,,,,
请帮我打开pdd的关注店铺页面。,在拼多多中查看店铺关注,拼多多,收藏,<Plan>#收藏#在$拼多多$中打开收藏夹</Plan><Finish>,<Plan>#收藏#在$拼多多$中打开店铺收藏夹</Plan><Finish>,√,0,,,,,,,,,,,,
拼夕夕关注店铺在哪里看？我找不到入口了。,在拼多多中查看店铺关注,拼多多,收藏,<Plan>#收藏#在$拼多多$中查看收藏夹</Plan><Finish>,<Plan>#收藏#在$拼多多$中查看店铺收藏夹</Plan><Finish>,√,0,,,,,,,,,,,,
我在淘宝网收藏夹里有个属于“家居好物”的东西，能帮我找一下吗？,在淘宝中搜索收藏中的<搜索内容>,淘宝,收藏,<Plan>#搜索#在$淘宝$中打开收藏夹并查找家居好物</Plan><Finish>,<Plan>#收藏#在$淘宝$中打开收藏夹并查找家居好物</Plan><Finish>,√,0,,,,,,,,,,,,
YoYo，快帮我查查淘宝商城里有没有收藏过“复古风连衣裙”。,在淘宝中搜索收藏中的<搜索内容>,淘宝,收藏,<Plan>#搜索#在$淘宝$中查看复古风连衣裙的收藏</Plan><Finish>,<Plan>#收藏#在$淘宝$中搜索收藏中的复古风连衣裙</Plan><Finish>,√,1,,,,,,,,,,,,
淘宝收藏里的“数码配件”分类好像有个“极速充电屋”的东西，你知道吗？,在淘宝中搜索收藏中的<搜索内容>,淘宝,收藏,<Plan>#收藏#在$淘宝$中查看数码配件分类下的极速充电屋</Plan><Finish>,<Plan>#收藏#在$淘宝$中查看收藏数码配件分类下的极速充电屋</Plan><Finish>,√,0,,,,,,,,,,,,
YoYo助手，我之前在淘宝收藏了一个“创意文具”，现在找不到了，帮我找回来吧！,在淘宝中搜索收藏中的<搜索内容>,淘宝,收藏,<Plan>#搜索#在$淘宝$中打开收藏夹<br>#搜索#在$淘宝$中查找创意文具</Plan><Finish>,<Plan>#收藏#在$淘宝$中打开收藏夹查找创意文具</Plan><Finish>,√,0,,,,,,,,,,,,
淘宝网收藏夹里的“户外装备优选”这个关键词对应的宝贝你能不能找到？,在淘宝中搜索收藏中的<搜索内容>,淘宝,收藏,<Plan>#搜索#在$淘宝$中打开收藏夹并查找户外装备优选</Plan><Finish>,<Plan>#收藏#在$淘宝$中搜索收藏夹中的户外装备优选</Plan><Finish>,√,1,,,,,,,,,,,,
淘宝关注店铺里有卖复古连衣裙的店铺吗？,在淘宝中搜索关注店铺中的<搜索内容>,淘宝,收藏,<Plan>#搜索#在$淘宝$中查看复古连衣裙相关店铺<br>#收藏#在$淘宝$中查看关注店铺</Plan><Finish>,<Plan>#收藏#在$淘宝$中搜索关注店铺中卖复古连衣裙的店铺</Plan><Finish>,√,1,,,,,,,,,,,,
YoYo，帮我查一下淘宝收藏的店铺中有没有“良品铺子”。,在淘宝中搜索关注店铺中的<搜索内容>,淘宝,收藏,<Plan>#搜索#在$淘宝$中查看$良品铺子$的收藏店铺</Plan><Finish>,<Plan>#收藏#在$淘宝$中查看收藏店铺里的良品铺子</Plan><Finish>,√,0,,,,,,,,,,,,
快帮我看看我在淘宝关注的店铺里能不能找到运动鞋！,在淘宝中搜索关注店铺中的<搜索内容>,淘宝,收藏,<Plan>#搜索#在$淘宝$中查看$关注的店铺$里的运动鞋</Plan><Finish>,<Plan>#收藏#在$淘宝$中查看店铺收藏夹里的运动鞋</Plan><Finish>,√,0,,,,,,,,,,,,
在淘宝网关注列表里搜索“三只松鼠”这家店。,在淘宝中搜索关注店铺中的<搜索内容>,淘宝,收藏,<Plan>#搜索#在$淘宝$中在$关注列表$里搜索“三只松鼠”这家店</Plan><Finish>,<Plan>#收藏#在$淘宝$中搜索关注列表里“三只松鼠”这家店</Plan><Finish>,√,1,,,,,,,,,,,,
我想在淘宝商城关注的店铺里找找有没有卖手机壳的。,在淘宝中搜索关注店铺中的<搜索内容>,淘宝,收藏,<Plan>#搜索#在$淘宝$中打开关注的店铺并查找手机壳</Plan><Finish>,<Plan>#收藏#在$淘宝$中打开关注的店铺并查找手机壳</Plan><Finish>,√,0,,,,,,,,,,,,
淘宝里怎么查看我关注的店铺啊？,在淘宝中查看我关注的店铺,淘宝,收藏,<Plan>#搜索#在$淘宝$中查看关注的店铺</Plan><Finish>,<Plan>#收藏#在$淘宝$中查看关注的店铺</Plan><Finish>,√,1,,,,,,,,,,,,
帮我打开淘宝网，看看我关注的都有哪些店铺。,在淘宝中查看我关注的店铺,淘宝,收藏,<Plan>#签到#在$淘宝$中查看关注的店铺</Plan><Finish>,<Plan>#收藏#在$淘宝$中查看关注的店铺</Plan><Finish>,√,1,,,,,,,,,,,,
我想在淘宝商城里找找我之前关注的店铺，怎么操作呢？,在淘宝中查看我关注的店铺,淘宝,收藏,<Plan>#搜索#在$淘宝$中查看之前关注的店铺</Plan><Finish>,<Plan>#收藏#在$淘宝$中查看之前关注的店铺</Plan><Finish>,√,0,,,,,,,,,,,,
去淘宝APP里把我关注的店铺列表调出来。,在淘宝中查看我关注的店铺,淘宝,收藏,<Plan>#收藏#在$淘宝$中打开收藏夹</Plan><Finish>,<Plan>#收藏#在$淘宝$中打开店铺收藏夹</Plan><Finish>,√,0,,,,,,,,,,,,
淘宝账号里关注的店铺在哪里看？能帮我查一下吗？,在淘宝中查看我关注的店铺,淘宝,收藏,<Plan>#搜索#在$淘宝$中查看关注的店铺</Plan><Finish>,<Plan>#收藏#在$淘宝$中查看关注的店铺</Plan><Finish>,√,0,,,,,,,,,,,,
我想看看淘宝里收藏的最喜爱店铺。,在淘宝中查看特别关注的店铺,淘宝,收藏,<Plan>#收藏#在$淘宝$中打开收藏夹</Plan><Finish>,<Plan>#收藏#在$淘宝$中打开最喜爱店铺收藏夹</Plan><Finish>,√,0,,,,,,,,,,,,
YoYo，帮我打开淘宝网特别关注的店铺页面。,在淘宝中查看特别关注的店铺,淘宝,收藏,<Plan>#签到#在$淘宝$中查看特别关注的店铺页面</Plan><Finish>,<Plan>#收藏#在$淘宝$中查看特别关注的店铺页面</Plan><Finish>,√,1,,,,,,,,,,,,
淘宝商城里那些我特别关注的店铺最近有优惠活动吗？,在淘宝中查看特别关注的店铺,淘宝,收藏,<Plan>#搜索#在$淘宝$中查看特别关注的店铺优惠活动</Plan><Finish>,<Plan>#收藏#在$淘宝$中查看特别关注的店铺优惠活动</Plan><Finish>,√,1,,,,,,,,,,,,
快点带我去淘宝网查看特别关注的店铺！,在淘宝中查看特别关注的店铺,淘宝,收藏,<Plan>#签到#在$淘宝$中查看特别关注的店铺</Plan><Finish>,<Plan>#收藏#在$淘宝$中查看特别关注的店铺</Plan><Finish>,√,0,,,,,,,,,,,,
YoYo，我在淘宝上特别关注的店铺怎么找？,在淘宝中查看特别关注的店铺,淘宝,收藏,<Plan>#搜索#在$淘宝$中查看$特别关注的店铺$</Plan><Finish>,<Plan>#收藏#在$淘宝$中查看特别关注的店铺</Plan><Finish>,√,0,,,,,,,,,,,,
我想看看淘宝关注店铺的直播，YOYO你帮我找一下吧。,在淘宝中查看关注店铺的直播,淘宝,收藏,<Plan>#搜索#在$淘宝$中查看关注店铺的直播</Plan><Finish>,<Plan>#收藏#在$淘宝$中查看关注店铺的直播</Plan><Finish>,√,1,,,,,,,,,,,,
淘宝网里能看我关注的店铺做直播吗？怎么操作啊？,在淘宝中查看关注店铺的直播,淘宝,收藏,<Plan>#搜索#在$淘宝$中查看关注的店铺直播</Plan><Finish>,<Plan>#收藏#在$淘宝$中查看关注的店铺直播</Plan><Finish>,√,0,,,,,,,,,,,,
快点带我去淘宝商城看看关注店铺的直播！,在淘宝中查看关注店铺的直播,淘宝,收藏,<Plan>#搜索#在$淘宝$中查看关注店铺的直播</Plan><Finish>,<Plan>#收藏#在$淘宝$中查看关注店铺的直播</Plan><Finish>,√,0,,,,,,,,,,,,
有没有办法在淘宝看到我常买的那家店铺的直播呀？,在淘宝中查看关注店铺的直播,淘宝,收藏,<Plan>#搜索#在$淘宝$中查看我常买的那家店铺的直播</Plan><Finish>,<Plan>#收藏#在$淘宝$中查看我常买的那家店铺的直播</Plan><Finish>,√,0,,,,,,,,,,,,
哎呀，我的淘宝关注店铺有直播推荐吗？YOYO你知道吗？,在淘宝中查看关注店铺的直播,淘宝,收藏,<Plan>#搜索#在$淘宝$中查看关注店铺的直播推荐</Plan><Finish>,<Plan>#收藏#在$淘宝$中查看关注店铺的直播推荐</Plan><Finish>,√,1,,,,,,,,,,,,
我想在淘宝网里看看我关注的店铺有没有上新商品。,在淘宝中查看关注店铺的上新商品,淘宝,收藏,<Plan>#搜索#在$淘宝$中查看$关注的店铺$上新商品</Plan><Finish>,<Plan>#收藏#在$淘宝$中查看关注的店铺上新商品</Plan><Finish>,√,0,,,,,,,,,,,,
YoYo，帮我打开淘宝商城，查看关注店铺的最新上新。,在淘宝中查看关注店铺的上新商品,淘宝,收藏,<Plan>#启动#打开$淘宝$<br>#搜索#在$淘宝$中查看关注店铺的最新上新</Plan><Finish>,<Plan>#收藏#在$淘宝$中查看关注店铺的最新上新</Plan><Finish>,√,0,,,,,,,,,,,,
淘宝最近关注的店铺上新了吗？帮我查一下呗！,在淘宝中查看关注店铺的上新商品,淘宝,收藏,<Plan>#搜索#在$淘宝$中查看最近关注的店铺上新</Plan><Finish>,<Plan>#收藏#在$淘宝$中查看最近关注的店铺上新</Plan><Finish>,√,1,,,,,,,,,,,,
YoYo助手，能不能带我去淘宝网的关注店铺页面看看有哪些新品？,在淘宝中查看关注店铺的上新商品,淘宝,收藏,<Plan>#搜索#在$淘宝$中查看$关注店铺$的新品</Plan><Finish>,<Plan>#收藏#在$淘宝$中查看关注店铺的新品</Plan><Finish>,√,0,,,,,,,,,,,,
哎，淘宝里那些我关注的店铺今天有上新吗？,在淘宝中查看关注店铺的上新商品,淘宝,收藏,<Plan>#搜索#在$淘宝$中查看我关注的店铺上新</Plan><Finish>,<Plan>#收藏#在$淘宝$中查看我关注的店铺上新</Plan><Finish>,√,1,,,,,,,,,,,,
淘宝里我收藏的商品在哪里看？,在淘宝中查看我的收藏,淘宝,收藏,<Plan>#收藏#在$淘宝$中打开收藏夹</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo，帮我打开淘宝网查看我的收藏夹。,在淘宝中查看我的收藏,淘宝,收藏,<Plan>#收藏#在$淘宝$中打开收藏夹</Plan><Finish>,,√,1,,,,,,,,,,,,
我在淘宝商城收藏的东西怎么找不到了？,在淘宝中查看我的收藏,淘宝,收藏,<Plan>#收藏#在$淘宝$中打开收藏夹</Plan><Finish>,,√,0,,,,,,,,,,,,
快帮我查一下淘宝关注的商品都有啥！,在淘宝中查看我的收藏,淘宝,收藏,<Plan>#搜索#在$淘宝$中查看关注的商品</Plan><Finish>,<Plan>#收藏#在$淘宝$中查看关注的商品</Plan><Finish>,√,1,,,,,,,,,,,,
淘宝app里有没有办法让我看到我收藏的宝贝？,在淘宝中查看我的收藏,淘宝,收藏,<Plan>#收藏#在$淘宝$中查看收藏的宝贝</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo，快帮我看看淘宝收藏夹里有没有降价的商品！,在淘宝中查看我的收藏中的降价商品,淘宝,收藏,<Plan>#搜索#在$淘宝$中打开收藏夹并查看降价商品</Plan><Finish>,<Plan>#收藏#在$淘宝$中打开收藏夹并查看降价商品</Plan><Finish>,√,0,,,,,,,,,,,,
我想在淘宝网上查看我收藏了但还没买的降价好物。,在淘宝中查看我的收藏中的降价商品,淘宝,收藏,<Plan>#搜索#在$淘宝$中查看我收藏了但还没买的降价好物</Plan><Finish>,<Plan>#收藏#在$淘宝$中查看我收藏了但还没买的降价好物</Plan><Finish>,√,0,,,,,,,,,,,,
请帮我查一下淘宝商城的收藏列表里哪些商品最近降价了？,在淘宝中查看我的收藏中的降价商品,淘宝,收藏,<Plan>#搜索#在$淘宝$中打开收藏列表并查看最近降价的商品</Plan><Finish>,<Plan>#收藏#在$淘宝$中打开收藏列表并查看最近降价的商品</Plan><Finish>,√,0,,,,,,,,,,,,
淘宝收藏里的东西有没有降价啊，YoYo你能帮我看看吗？,在淘宝中查看我的收藏中的降价商品,淘宝,收藏,<Plan>#搜索#在$淘宝$中查看收藏里的降价商品</Plan><Finish>,<Plan>#收藏#在$淘宝$中查看收藏里的降价商品</Plan><Finish>,√,1,,,,,,,,,,,,
YoYo助手，我在淘宝网收藏的商品最近有优惠吗？,在淘宝中查看我的收藏中的降价商品,淘宝,收藏,<Plan>#搜索#在$淘宝$中查看收藏的商品优惠</Plan><Finish>,<Plan>#收藏#在$淘宝$中查看收藏的商品优惠</Plan><Finish>,√,1,,,,,,,,,,,,
淘宝里我的收藏夹里有哪些已经买过的商品？,在淘宝中查看我的收藏中的已买过商品,淘宝,收藏,<Plan>#收藏#在$淘宝$中查看已经买过的商品</Plan><Finish>,<Plan>#收藏#在$淘宝$中查看收藏夹里已经买过的商品</Plan><Finish>,√,1,,,,,,,,,,,,
YOYO，帮我查看一下淘宝网收藏里的已购商品。,在淘宝中查看我的收藏中的已买过商品,淘宝,收藏,<Plan>#收藏#在$淘宝$中查看已购商品</Plan><Finish>,<Plan>#收藏#在$淘宝$中查看收藏里的已购商品</Plan><Finish>,√,1,,,,,,,,,,,,
我想看看我在淘宝商城收藏过哪些已经下单的商品。,在淘宝中查看我的收藏中的已买过商品,淘宝,收藏,<Plan>#收藏#在$淘宝$中查看已下单的商品收藏</Plan><Finish>,,√,0,,,,,,,,,,,,
淘宝的收藏里面能不能找到我之前买过的东西？,在淘宝中查看我的收藏中的已买过商品,淘宝,收藏,<Plan>#收藏#在$淘宝$中打开收藏夹并查看之前买过的东西</Plan><Finish>,,√,0,,,,,,,,,,,,
YOYO，快帮我查一下淘宝上我收藏的已买商品列表！,在淘宝中查看我的收藏中的已买过商品,淘宝,收藏,<Plan>#收藏#在$淘宝$中查看已买商品列表</Plan><Finish>,<Plan>#收藏#在$淘宝$中查看收藏里的已买商品列表</Plan><Finish>,√,0,,,,,,,,,,,,
YoYo，快帮我看看淘宝收藏夹里那些库存不多的商品！,在淘宝中查看我的收藏中的低库存商品,淘宝,收藏,<Plan>#收藏#在$淘宝$中查看库存不多的商品</Plan><Finish>,<Plan>#收藏#在$淘宝$中查看收藏夹里库存不多的商品</Plan><Finish>,√,0,,,,,,,,,,,,
我想在淘宝网查看我收藏的宝贝里哪些快没货了。,在淘宝中查看我的收藏中的低库存商品,淘宝,收藏,<Plan>#搜索#在$淘宝$中查看我收藏的宝贝里哪些快没货了</Plan><Finish>,<Plan>#收藏#在$淘宝$中查看我收藏的宝贝里哪些快没货了</Plan><Finish>,√,1,,,,,,,,,,,,
YoYo助手，能不能帮我查一下淘宝商城中我收藏的商品库存情况？,在淘宝中查看我的收藏中的低库存商品,淘宝,收藏,<Plan>#收藏#在$淘宝$中查看收藏的商品库存情况</Plan><Finish>,,√,0,,,,,,,,,,,,
我的收藏夹里好像有些商品库存很少了，淘宝还能买到吗？,在淘宝中查看我的收藏中的低库存商品,淘宝,收藏,<Plan>#搜索#在$淘宝$中查看收藏夹里的商品库存情况</Plan><Finish>,<Plan>#收藏#在$淘宝$中查看收藏夹里的商品库存情况</Plan><Finish>,√,0,,,,,,,,,,,,
淘宝里的收藏品库存紧张吗？帮我查一查！,在淘宝中查看我的收藏中的低库存商品,淘宝,收藏,<Plan>#搜索#在$淘宝$中查看收藏品库存情况</Plan><Finish>,<Plan>#收藏#在$淘宝$中查看收藏品库存情况</Plan><Finish>,√,1,,,,,,,,,,,,
我想在淘宝网里看看我收藏夹里的失效商品。,在淘宝中查看我的收藏中的已失效商品,淘宝,收藏,<Plan>#收藏#在$淘宝$中查看失效商品</Plan><Finish>,<Plan>#收藏#在$淘宝$中查看收藏中的失效商品</Plan><Finish>,√,1,,,,,,,,,,,,
